HPC,Project,Submit_Pt,CHTC_Total,HTC,Domain,Dept,OSG,CHTC_Supported,College,Total,Traditional
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,3338,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,3329,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,3272,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,3235,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,3216,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2231,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2210,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2157,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2151,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2100,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2097,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2007,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1571,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1527,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1472,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1246,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1238,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1232,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1204,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1108,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,996,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,784,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,700,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,682,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,669,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,585,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,527,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,374,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,367,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,339,yes
0,icecube,icecube,1550170,155,Physical Sciences,Physics,170,1550170,Letters and Sciences,325,yes
0,icecube,icecube,26207,262,Physical Sciences,Physics,7,26207,Letters and Sciences,269,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,241,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,239,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,228,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,207,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,200,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,196,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,194,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,190,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,181,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,166,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,137,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,136,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,126,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,121,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,114,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,106,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,104,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,99,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,83,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,67,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,59,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,56,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,49,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,47,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,38,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,36,yes
0,icecube,icecube,22,0,Physical Sciences,Physics,22,22,Letters and Sciences,22,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,19,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,12,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,10,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,8,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,8,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,8,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,7,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,4,yes
0,icecube,icecube,3,0,Physical Sciences,Physics,3,3,Letters and Sciences,3,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,3,yes
0,icecube,icecube,2,0,Physical Sciences,Physics,2,2,Letters and Sciences,2,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1,yes
0,icecube,icecube,1,0,Physical Sciences,Physics,1,1,Letters and Sciences,1,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,1,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,0,yes
155557,physics_sarff,chtc,1555570,0,Physical Sciences,Physics,0,155557,Letters and Sciences,155557,yes
31000,physics_sarff,chtc,310000,0,Physical Sciences,Physics,0,31000,Letters and Sciences,31000,yes
0,physics_bai,hep,1831700,18317,Physical Sciences,Physics,0,1831700,Letters and Sciences,18317,yes
0,genetics_payseur,chtc,7.24492E+12,724492,Life Sciences,Genetics,424244,1212135,Agricultural and Life Sciences,1212135,no
0,genetics_payseur,chtc,1.49003E+11,149003,Life Sciences,Genetics,47661,211250,Agricultural and Life Sciences,211250,no
0,genetics_payseur,chtc,833200,8332,Life Sciences,Genetics,0,8332,Agricultural and Life Sciences,8332,no
0,genetics_hittinger,chtc,42931100,429311,Life Sciences,Genetics,0,429311,Agricultural and Life Sciences,429311,no
0,genetics_pool,chtc,1.37125E+11,137125,Life Sciences,Genetics,53267,198577,Agricultural and Life Sciences,198577,no
0,genetics_pool,chtc,7400,74,Life Sciences,Genetics,0,74,Agricultural and Life Sciences,74,no
0,genetics_perna,chtc,13715800,137158,Life Sciences,Genetics,0,137158,Agricultural and Life Sciences,137158,no
0,genetics_perna,chtc,94900,949,Life Sciences,Genetics,0,949,Agricultural and Life Sciences,949,no
0,biochemistry_raman,chtc,2.72361E+12,272361,Life Sciences,Biochemistry,161719,608393,Agricultural and Life Sciences,608393,no
0,biochemistry_raman,chtc,2.65378E+12,265378,Life Sciences,Biochemistry,117867,561192,Agricultural and Life Sciences,561192,no
0,biochemistry_raman,biochem,15205300,152053,Life Sciences,Biochemistry,0,15205300,Agricultural and Life Sciences,215665,no
0,biochemistry_raman,chtc,1.42519E+11,142519,Life Sciences,Biochemistry,17002,211914,Agricultural and Life Sciences,211914,no
0,biochemistry_raman,biochem,5066500,50665,Life Sciences,Biochemistry,0,5066500,Agricultural and Life Sciences,60949,no
0,bmrb,chtc,103536,0,Life Sciences,Biochemistry,103536,142537,Agricultural and Life Sciences,142537,no
0,bmrb,chtc,0,0,Life Sciences,Biochemistry,0,2210,Agricultural and Life Sciences,2210,no
0,bmrb,chtc,0,0,Life Sciences,Biochemistry,0,123,Agricultural and Life Sciences,123,no
0,biochem_fox,chtc,76332032257,76332,Life Sciences,Biochemistry,32257,116295,Agricultural and Life Sciences,116295,no
46050,biochem_fox,chtc,460500,0,Life Sciences,Biochemistry,0,46050,Agricultural and Life Sciences,46050,no
0,biochem_mitchell,biochem,0,0,Life Sciences,Biochemistry,0,0,Agricultural and Life Sciences,91047,no
0,biochem_mitchell,chtc,48900,489,Life Sciences,Biochemistry,0,489,Agricultural and Life Sciences,489,no
0,biochem_mitchell,chtc,4800,48,Life Sciences,Biochemistry,0,48,Agricultural and Life Sciences,48,no
0,economics_gregory,chtc,2.42143E+12,242143,Social Sciences,Economics,244766,587651,Letters and Sciences,587651,no
0,economics_freyberger,chtc,26044300,260443,Social Sciences,Economics,0,260443,Letters and Sciences,260443,no
0,economics_gandhi,chtc,88399033893,88399,Social Sciences,Economics,33893,130950,Letters and Sciences,130950,no
0,economics_corbae,chtc,8577600,85776,Social Sciences,Economics,0,85776,Letters and Sciences,85776,no
7678,economics_corbae,chtc,76780,0,Social Sciences,Economics,0,7678,Letters and Sciences,7678,no
0,economics_corbae,chtc,20400,204,Social Sciences,Economics,0,204,Letters and Sciences,204,no
0,economics_roys,chtc,1914000,19140,Social Sciences,Economics,0,19140,Letters and Sciences,19140,no
0,economics_atalay,chtc,701300,7013,Social Sciences,Economics,0,7013,Letters and Sciences,7013,no
8,economics_durlauf,chtc,80,0,Social Sciences,Economics,0,8,Letters and Sciences,8,no
0,erc,chtc,39691300,396913,Engineering,Mechanical Engineering,0,436307,Engineering,436307,yes
58127,erc,chtc,581270,0,Engineering,Mechanical Engineering,0,58127,Engineering,58127,yes
53951,erc,chtc,539510,0,Engineering,Mechanical Engineering,0,53951,Engineering,53951,yes
27306,erc,chtc,273060,0,Engineering,Mechanical Engineering,0,27306,Engineering,27306,yes
23949,erc,chtc,239490,0,Engineering,Mechanical Engineering,0,23949,Engineering,23949,yes
4772,erc,chtc,47720,0,Engineering,Mechanical Engineering,0,4772,Engineering,4772,yes
121357,meche_trujillo,chtc,1213570,0,Engineering,Mechanical Engineering,0,121357,Engineering,121357,yes
49845,meche_trujillo,chtc,498450,0,Engineering,Mechanical Engineering,0,49845,Engineering,49845,yes
45728,meche_trujillo,chtc,457280,0,Engineering,Mechanical Engineering,0,45728,Engineering,45728,yes
6939,meche_trujillo,chtc,69390,0,Engineering,Mechanical Engineering,0,6939,Engineering,6939,yes
21234,meche_kokjohn,chtc,212340,0,Engineering,Mechanical Engineering,0,21234,Engineering,21234,yes
15548,meche_kokjohn,chtc,155480,0,Engineering,Mechanical Engineering,0,15548,Engineering,15548,yes
14956,meche_rutland,chtc,149560,0,Engineering,Mechanical Engineering,0,14956,Engineering,14956,yes
8212,meche_rutland,chtc,82120,0,Engineering,Mechanical Engineering,0,8212,Engineering,8212,yes
7933,meche_rutland,chtc,79330,0,Engineering,Mechanical Engineering,0,7933,Engineering,7933,yes
3065,meche_rutland,chtc,30650,0,Engineering,Mechanical Engineering,0,3065,Engineering,3065,yes
1,meche_rutland,chtc,10,0,Engineering,Mechanical Engineering,0,1,Engineering,1,yes
3344,meche_pfotenhauer,chtc,33440,0,Engineering,Mechanical Engineering,0,3344,Engineering,3344,yes
11,meche_pfotenhauer,chtc,110,0,Engineering,Mechanical Engineering,0,11,Engineering,11,yes
0,meche_thelen,chtc,22260454,2226,Engineering,Mechanical Engineering,454,2870,Engineering,2870,yes
398756,materialscience_morgan,chtc,3987560,0,Engineering,Materials Science and Engineering,0,398756,Engineering,398756,yes
135580,materialscience_morgan,chtc,1355800,0,Engineering,Materials Science and Engineering,0,135580,Engineering,135580,yes
82513,materialscience_morgan,chtc,825130,0,Engineering,Materials Science and Engineering,0,82513,Engineering,82513,yes
59418,materialscience_morgan,chtc,594180,0,Engineering,Materials Science and Engineering,0,59418,Engineering,59418,yes
48729,materialscience_morgan,chtc,487290,0,Engineering,Materials Science and Engineering,0,48729,Engineering,48729,yes
42546,materialscience_morgan,chtc,425460,0,Engineering,Materials Science and Engineering,0,42546,Engineering,42546,yes
25171,materialscience_morgan,chtc,251710,0,Engineering,Materials Science and Engineering,0,25171,Engineering,25171,yes
23055,materialscience_morgan,chtc,230550,0,Engineering,Materials Science and Engineering,0,23055,Engineering,23055,yes
2082,materialscience_morgan,chtc,20820,0,Engineering,Materials Science and Engineering,0,2082,Engineering,2082,yes
58,materialscience_morgan,chtc,580,0,Engineering,Materials Science and Engineering,0,58,Engineering,58,yes
52,materialscience_morgan,chtc,520,0,Engineering,Materials Science and Engineering,0,52,Engineering,52,yes
104118,mse_szlufarska,chtc,1041180,0,Engineering,Materials Science and Engineering,0,104118,Engineering,104118,yes
0,mse_voyles,chtc,2017300,20173,Engineering,Materials Science and Engineering,0,20173,Engineering,20173,yes
8294,mse_voyles,chtc,82940,0,Engineering,Materials Science and Engineering,0,8294,Engineering,8294,yes
853,mse_voyles,chtc,8530,0,Engineering,Materials Science and Engineering,0,853,Engineering,853,yes
714,mse_voyles,chtc,7140,0,Engineering,Materials Science and Engineering,0,714,Engineering,714,yes
7,mse_voyles,chtc,70,0,Engineering,Materials Science and Engineering,0,7,Engineering,7,yes
0,mse_voyles,chtc,0,0,Engineering,Materials Science and Engineering,0,0,Engineering,0,yes
0,wid_biology_roy,chtc,25986300,259863,Med/Pharm/Vet,Biostatistics and Medical Informatics,0,320474,Medicine and Public Health,320474,no
0,wid_biology_roy,chtc,218800,2188,Med/Pharm/Vet,Biostatistics and Medical Informatics,0,3171,Medicine and Public Health,3171,no
0,biostat,biostat,0,0,Life Sciences,Biostatistics and Medical Informatics,0,0,Medicine and Public Health,171885,no
0,biostat,biostat,0,0,Life Sciences,Biostatistics and Medical Informatics,0,0,Medicine and Public Health,69388,no
0,biostat,biostat,0,0,Life Sciences,Biostatistics and Medical Informatics,0,0,Medicine and Public Health,56243,no
0,biostat,biostat,0,0,Life Sciences,Biostatistics and Medical Informatics,0,0,Medicine and Public Health,10436,no
0,biostat,biostat,0,0,Life Sciences,Biostatistics and Medical Informatics,0,0,Medicine and Public Health,1475,no
